"简单来说，也就是（h,r,?）,（?,r,t）,（h,?,t）三种知识图谱的补全任务，被称为链接预测。",链接预测,,,知识图谱的补全任务,
"简单来说，也就是（h,r,?）,（?,r,t）,（h,?,t）三种知识图谱的补全任务，被称为链接预测。",链接预测,,,link prediction,
当知识图谱的嵌入被学习完成后，知识图谱嵌入就可以通过排序完成。,知识图谱嵌入,,,排序,
当知识图谱的嵌入被学习完成后，知识图谱嵌入就可以通过排序完成。,知识图谱嵌入,,,knowledge graph embedding,
"例如需要链接预测(Roma,is-capital-of,?)，可以将知识图谱中的每个实体都放在尾实体的位置上，并且放入相应的知识图谱嵌入模型的得分函数中，计算不同实体作为该三元组的尾实体的得分，也就是该三元组的合理性，得分最高的实体会被作为链接预测的结果。",链接预测,,,知识图谱中每个实体都放在尾实体的位置上并且放入相应的知识图谱嵌入模型的得分函数中计算不同实体作为该三元组的尾实体的得分,
"例如需要链接预测(Roma,is-capital-of,?)，可以将知识图谱中的每个实体都放在尾实体的位置上，并且放入相应的知识图谱嵌入模型的得分函数中，计算不同实体作为该三元组的尾实体的得分，也就是该三元组的合理性，得分最高的实体会被作为链接预测的结果。",链接预测,,,link-prediction,
链接预测也常被用于评测知识图谱嵌入。,链接预测,,,评测知识图谱嵌入,
一般来说，会用链接预测的正确答案的排序评估某种嵌入模型在链接预测上的能力，比较常见的参数有平均等级（Mean_Rank）、平均倒数等级（Mean_Reciprocal_Rank）和命中前n（Hist@n）。,评估某种嵌入模型在链接预测上的能力,,,比较常见的参数,
一般来说，会用链接预测的正确答案的排序评估某种嵌入模型在链接预测上的能力，比较常见的参数有平均等级（Mean_Rank）、平均倒数等级（Mean_Reciprocal_Rank）和命中前n（Hist@n）。,平均等级,,,Mean_Rank,
一般来说，会用链接预测的正确答案的排序评估某种嵌入模型在链接预测上的能力，比较常见的参数有平均等级（Mean_Rank）、平均倒数等级（Mean_Reciprocal_Rank）和命中前n（Hist@n）。,平均倒数等级,,,Mean_Reciprocal_Rank,
一般来说，会用链接预测的正确答案的排序评估某种嵌入模型在链接预测上的能力，比较常见的参数有平均等级（Mean_Rank）、平均倒数等级（Mean_Reciprocal_Rank）和命中前n（Hist@n）。,命中前n,,,Hist@n,
2.三元组分类三元组分类（Triple_Classification）指的是给定一个完整的三元组，判断三元组的真假。,三元组分类,,,给定一个完整的三元组，判断三元组的真假,
2.三元组分类三元组分类（Triple_Classification）指的是给定一个完整的三元组，判断三元组的真假。,三元组分类,,,Triple_Classification,
这对于训练过的知识图谱向量来说非常简单，只需要把三元组各个部分的向量表达带入相应的知识图谱嵌入的得分函数，三元组的得分越高，其合理性和真实性越高。,知识图谱向量,,,计算三元组的得分,
这对于训练过的知识图谱向量来说非常简单，只需要把三元组各个部分的向量表达带入相应的知识图谱嵌入的得分函数，三元组的得分越高，其合理性和真实性越高。,知识图谱向量,,,knowldge graph embedding,
3.实体对齐实体对齐（Entity_Resolution）也称为实体解析，任务是验证两个实体是否指代或者引用的是同一个事物或对象。,实体对齐,,,实体解析,
该任务可以删除同一个知识库中冗余的实体，也可以在知识库融合的时候从异构的数据源中找到相同的实体。,删除同一个知识库中冗余的实体,,,该任务,
该任务可以删除同一个知识库中冗余的实体，也可以在知识库融合的时候从异构的数据源中找到相同的实体。,删除同一个知识库中冗余的实体,,,delete redundant entities in the same knowledge base,
该任务可以删除同一个知识库中冗余的实体，也可以在知识库融合的时候从异构的数据源中找到相同的实体。,从异构的数据源中找到相同的实体,,,find the same entity from heterogeneous data sources,
"一种方法是，如果需要确定x、y两个实体指代同一个对象有多大可能，则使用知识图谱嵌入的得分函数对三元组(x,EqualTo,y)打分，但这种方法的前提是需要在知识库中存在EqualTo关系。",知识图谱嵌入的得分函数,,,判断x、y两个实体指代同一个对象有多大可能,
"一种方法是，如果需要确定x、y两个实体指代同一个对象有多大可能，则使用知识图谱嵌入的得分函数对三元组(x,EqualTo,y)打分，但这种方法的前提是需要在知识库中存在EqualTo关系。",等价,,,equalTo,
也有研究者提出完全根据实体的向量表示判断，例如设计一些实体之间的相似度函数来判断两个实体的相似程度，再进行对齐。,向量表示判断,,,根据实体的向量表示判断,
也有研究者提出完全根据实体的向量表示判断，例如设计一些实体之间的相似度函数来判断两个实体的相似程度，再进行对齐。,根据实体的向量表示判断,,,根据实体的向量表示判断,
"4.问答系统利用知识图谱完成问答系统是该任务的一个研究方向，该任务的重心是对某一个具体的通过自然语言表达的问题，使用知识图谱中的三元组对其进行回答，如下：A:Where_is_the_capital_of_Italy？Q:Rome（Rome,is-capital-of,Italy）A:Who_is_the_president_of_USA？Q:Donald_Trump（Donald_Trump,is-president-of,USA）文献[9]介绍了一种借助知识图谱嵌入完成该问题的方法。",问答系统,,,answer_a_specific_question_using_knowledge_graph,
简单来说就是设计一种得分函数，使问题的向量表示和其正确答案的向量表示得分较高。,得分函数,,,设计一种得分函数,
简单来说就是设计一种得分函数，使问题的向量表示和其正确答案的向量表示得分较高。,得分函数,,,"design a scoring function, make the problem vector representation and its correct answer vector representation score higher",
"S（q,a）是被设计出来的得分函数S（q,a）=（Wφ（q））⊺（Wψ（a））.式中，W为包含词语、实体和关系的向量表示的矩阵；φ（q）为词语出现的稀疏向量；ψ（a）为实体和关系出现的稀疏向量。","S（q,a）",,,"得分函数S（q,a）",
"S（q,a）是被设计出来的得分函数S（q,a）=（Wφ（q））⊺（Wψ（a））.式中，W为包含词语、实体和关系的向量表示的矩阵；φ（q）为词语出现的稀疏向量；ψ（a）为实体和关系出现的稀疏向量。","S（q,a）",,,"被设计出来的得分函数S（q,a）=（Wφ（q））⊺（Wψ（a））",
简单来说，Wφ（q）和Wψ（a）可以分别表示问题和答案的向量表示。,Wφ（q）,,,向量表示问题的向量表示,
简单来说，Wφ（q）和Wψ（a）可以分别表示问题和答案的向量表示。,Wφ,,,向量表示问题的向量,
简单来说，Wφ（q）和Wψ（a）可以分别表示问题和答案的向量表示。,Wψ,,,向量表示答案的向量,
"当a是q的正确答案时，得分函数S（q,a）被期望得到一个较高的分数，反之亦然。",得分函数S,,,期望得到一个较高的分数,
"当a是q的正确答案时，得分函数S（q,a）被期望得到一个较高的分数，反之亦然。",得分函数S,,,expect high score when a is the correct answer of q,
5.推荐系统推荐系统的本质是对用户推荐其没有接触过的、但有可能会感兴趣或者购买的服务或产品，包括电影、书籍、音乐、商品等。,推荐系统,,,对用户推荐其没有接触过的、但有可能会感兴趣或者购买的服务或产品,
协同过滤算法（Collaborative_Filtering）对用户和物品项目之间的交互进行建模并作为潜在表示取得了很好的效果。,协同过滤算法,,,对用户和物品项目之间的交互进行建模并作为潜在表示取得了很好的效果,
协同过滤算法（Collaborative_Filtering）对用户和物品项目之间的交互进行建模并作为潜在表示取得了很好的效果。,协同过滤算法,,,Collaborative_Filtering,
在知识图谱嵌入的发展下，推荐系统也尝试借助知识图谱的信息提高推荐系统的能力。,推荐系统,,,知识图谱嵌入的发展,
例如，Zhang[20]尝试知识图谱中的三元组、文本信息和图像信息对物品项目进行包含一定语义的编码得到相应的向量表示，然后使用协同过滤算法对用户进行向量表示，对两个向量表示相乘得到分数，得分越高说明该用户越喜好该商品。,向量表示,,,vector representation,
2.7本章小结本章比较全面地介绍了知识图谱的表示与建模方法。,本章小结,,,知识图谱的表示与建模方法,
目前大部分开放知识图谱的表示语言基于RDF、RDFS和OWL，这几个语言是W3C推荐的标准本体语言。,开放知识图谱的表示语言,,,RDF、RDFS和OWL,
除了这些标准语言，本章还介绍了知识图谱的查询语言SPARQL和语义Markup语言。,SPARQL,,,查询语言,
除了这些标准语言，本章还介绍了知识图谱的查询语言SPARQL和语义Markup语言。,语义Markup语言,,,本章,
除了这些标准语言，本章还介绍了知识图谱的查询语言SPARQL和语义Markup语言。,SPARQL,,,查询语言,
